Name:;Gene name:;Weighted mean:
p53152_ub;MMS2;7,49151E+15
p36037_ub;DOA1;6,69466E+15
p25357_ub;SNT1;5,73514E+15
p09368_ub;PUT1;3,95198E+14
p40151_ub;MGS1;8
p32790_ub;SLA1;8,40897E+15
q12040_ub;YOR283W;3,91098E+16
p36026_ub;UBP11;9,56058E+15
p20134_ub;SFL1;7,14953E+15
p36134_ub;YKR041W;5,2517E+15
p40559_ub;INP51;5,89052E+15
p0cx73_ub;TY1A-PL;5,0758E+15
q01477_ub;UBP3;9,60054E+14
p47068_ub;BBC1;71
q12242_ub;RUP1;7,39038E+15
p33338_ub;SLA2;7,3044E+15
p53155_ub;YGL082W;7,48514E+15
q05874_ub;NNT1;4,33629E+16
p43593_ub;UBP6;9,5383E+15
p47136_ub;BUD4;6,01508E+15
o13535_ub;TY1B-H;6,39799E+14
p0cx74_ub;TY1A-JR1;5,06296E+15
q6q546_ub;HUB1;6,14106E+15
p22035_ub;BAS1;5,83114E+15
q03407_ub;PKH1;6,02484E+15
q12518_ub;ENT1;6,71597E+15
p14682_ub;CDC34;7,44861E+15
p40343_ub;VPS27;9,01166E+12
p30620_ub;PSO2;89
p52491_ub;UBC12;7,2562E+15
p40462_ub;TMA108;5,48898E+15
p38889_ub;SKN7;5,91902E+15
p31377_ub;SYN8;6,84356E+14
q12086_ub;DIN7;3,77692E+16
q12245_ub;POC4;6,68638E+15
p25623_ub;SYP1;4,22033E+16
q03964_ub;TY1A-DR2;5,42533E+15
p25037_ub;UBP1;9,38732E+15
q02159_ub;UBC7;5,44849E+15
q12392_ub;TY2A-DR1;4,92411E+16
p36104_ub;SWD2;5,02634E+15
q03306_ub;PKH3;6,06718E+15
q12485_ub;TY1A-GR2;5,17345E+15
p32628_ub;RAD23;6,56839E+15
p0cx75_ub;TY1A-LR3;5,06296E+15
p53388_ub;DIP5;4,13175E+13
p38237_ub;UBP14;9,46695E+15
p53337_ub;ERV29;6,37358E+15
p46944_ub;TRS85;6,6118E+15
q04049_ub;RAD30;8,7431E+15
p35127_ub;YUH1;9,0558E+14
q02875_ub;SYH1;9,41873E+15
q12085_ub;TY1A-GR1;4,96594E+15
p38428_ub;CUE1;7,97375E+15
p53874_ub;UBP10;9,60364E+15
p10961_ub;HSF1;7,52886E+15

