Complex name:,Uniprot Accession Number:,% Identity:,E-Value:,Homolog Fasta:
p10961_ub_model_A,Q6FS51,61.69,2e-52,p10961_ub_model_A_H65.fasta
p10961_ub_model_A,A7TJ41,56.58,4e-41,p10961_ub_model_A_H60.fasta
p10961_ub_model_A,A0A165I4J8,40.88,7e-22,p10961_ub_model_A_H45.fasta
p10961_ub_model_A,A0A9W8IL66,38.3,1.9999999999999998e-25,p10961_ub_model_A_H40.fasta
p10961_ub_model_A,A0A162QYX6,34.27,2e-20,p10961_ub_model_A_H35.fasta
p25357_ub_model_A,Q874N6,53.63,8e-79,p25357_ub_model_A_H55.fasta
p25357_ub_model_A,A7TGT2,49.63,5.999999999999999e-76,p25357_ub_model_A_H50.fasta
p25357_ub_model_A,A0AAV5RYY6,44.36,6e-56,p25357_ub_model_A_H45.fasta
p25357_ub_model_A,G0VKE6,39.23,8e-41,p25357_ub_model_A_H40.fasta
p25357_ub_model_A,G0W5M0,33.7,1.0000000000000001e-28,p25357_ub_model_A_H35.fasta
p25357_ub_model_A,A0AAN7WJT1,28.52,2e-20,p25357_ub_model_A_H30.fasta
q12245_ub_model_A,G0VBA9,39.49,8.000000000000001e-29,q12245_ub_model_A_H40.fasta
q12245_ub_model_A,H2AN60,34.64,9.999999999999999e-27,q12245_ub_model_A_H35.fasta
p0cx70_ub_model_A,A6ZMH7,79.9,3e-110,p0cx70_ub_model_A_H80.fasta
p0cx70_ub_model_A,A0AA35JE33,65.99,3e-86,p0cx70_ub_model_A_H70.fasta
p0cx70_ub_model_A,A0AA35NLP0,64.32,2e-76,p0cx70_ub_model_A_H65.fasta
p0cx70_ub_model_A,A0AA35ND33,48.99,2e-59,p0cx70_ub_model_A_H50.fasta
p0cx70_ub_model_A,A7TJX5,30.11,4e-16,p0cx70_ub_model_A_H35.fasta
p0cx70_ub_model_A,A0A7H9HN04,28.65,4e-15,p0cx70_ub_model_A_H30.fasta
p0cx70_ub_model_A,A7TMQ1,24.73,6e-14,p0cx70_ub_model_A_H25.fasta
p40477_ub_model_A,A0A1Q2ZSN5,45.82,1.0000000000000001e-112,p40477_ub_model_A_H50.fasta
p40477_ub_model_A,G0W6J5,43.25,4e-99,p40477_ub_model_A_H45.fasta
p40477_ub_model_A,G8BV28,39.95,8e-87,p40477_ub_model_A_H40.fasta
p40477_ub_model_A,G8JRL5,33.49,1.9999999999999999e-56,p40477_ub_model_A_H35.fasta
p40477_ub_model_A,A0A376BBC3,29.78,3e-38,p40477_ub_model_A_H30.fasta
p40477_ub_model_A,UPI00315C8413,22.22,7e-22,p40477_ub_model_A_H25.fasta
p53962_ub_model_A,G0VHG8,66.87,6e-166,p53962_ub_model_A_H70.fasta
p53962_ub_model_A,Q75AY8,60.37,2e-148,p53962_ub_model_A_H65.fasta
p53962_ub_model_A,A0A0W0D724,57.75,2e-127,p53962_ub_model_A_H60.fasta
p53962_ub_model_A,A0A1E3NXE0,51.4,2e-105,p53962_ub_model_A_H55.fasta
p53962_ub_model_A,C4R2K7,49.2,2e-98,p53962_ub_model_A_H50.fasta
p53962_ub_model_A,A0A871RI85,41.85,5e-76,p53962_ub_model_A_H45.fasta
p53962_ub_model_A,A0A5E8CA71,38.72,1e-67,p53962_ub_model_A_H40.fasta
p53962_ub_model_A,Q6C5B8,33.75,1e-52,p53962_ub_model_A_H35.fasta
p53962_ub_model_A,A0AAN8IMA1,28.8,1e-31,p53962_ub_model_A_H30.fasta
p53962_ub_model_A,A0A8J5T0I2,24.65,9e-16,p53962_ub_model_A_H25.fasta
p28778_ub_model_A,A0A1X7R079,70.49,2e-55,p28778_ub_model_A_H75.fasta
p28778_ub_model_A,G0V6M3,67.46,1e-48,p28778_ub_model_A_H70.fasta
p28778_ub_model_A,A0A0H5C7C2,64.6,7.999999999999999e-42,p28778_ub_model_A_H65.fasta
p28778_ub_model_A,W1QD54,54.78,2e-37,p28778_ub_model_A_H55.fasta
p28778_ub_model_A,UPI002224EE1D,49.57,2e-35,p28778_ub_model_A_H50.fasta
p28778_ub_model_A,A0A421JK17,40.87,6e-29,p28778_ub_model_A_H45.fasta
p28778_ub_model_A,A0A9P9A5Z5,39.5,5e-17,p28778_ub_model_A_H40.fasta
p28778_ub_model_A,A0AAD7VWK3,34.48,1e-16,p28778_ub_model_A_H35.fasta
p40537_ub_model_A,A0A1Q3AET5,62.54,4e-123,p40537_ub_model_A_H65.fasta
p40537_ub_model_A,G8ZZR5,57.01,8e-117,p40537_ub_model_A_H60.fasta
p40537_ub_model_A,A0A7G3ZFJ0,52.19,5.999999999999999e-116,p40537_ub_model_A_H55.fasta
p40537_ub_model_A,W0TE48,48.4,9.999999999999999e-87,p40537_ub_model_A_H50.fasta
p40537_ub_model_A,A7TQQ3,43.55,2.0000000000000002e-75,p40537_ub_model_A_H45.fasta
p40537_ub_model_A,K0KV35,39.62,2.9999999999999998e-55,p40537_ub_model_A_H40.fasta
p40537_ub_model_A,A0A1E5R0W6,33.51,4.0000000000000005e-49,p40537_ub_model_A_H35.fasta
p40537_ub_model_A,A0A9P8Q0N3,29.94,8.000000000000001e-39,p40537_ub_model_A_H30.fasta
p40537_ub_model_A,UPI0031F37582,24.55,5e-19,p40537_ub_model_A_H25.fasta
q12085_ub_model_A,A6ZMH7,79.9,3e-110,q12085_ub_model_A_H80.fasta
q12085_ub_model_A,A0AA35JE33,65.99,3e-86,q12085_ub_model_A_H70.fasta
q12085_ub_model_A,A0AA35NLP0,64.32,2e-76,q12085_ub_model_A_H65.fasta
q12085_ub_model_A,A0AA35ND33,48.99,2e-59,q12085_ub_model_A_H50.fasta
q12085_ub_model_A,A7TJX5,30.11,4e-16,q12085_ub_model_A_H35.fasta
q12085_ub_model_A,A0A7H9HN04,28.65,4e-15,q12085_ub_model_A_H30.fasta
q12085_ub_model_A,A7TMQ1,24.73,6e-14,q12085_ub_model_A_H25.fasta
o13535_ub_model_A,A0A0L8VT75,82.19,0.0,o13535_ub_model_A_H85.fasta
o13535_ub_model_A,A0AA35NLP0,50.24,1e-121,o13535_ub_model_A_H55.fasta
o13535_ub_model_A,UPI002EFB229F,27.22,1e-38,o13535_ub_model_A_H30.fasta
o13535_ub_model_A,G8ZUH5,24.46,9e-41,o13535_ub_model_A_H25.fasta
p53836_ub_model_A,G8ZQN8,46.5,8.0000000000000005e-112,p53836_ub_model_A_H50.fasta
p53836_ub_model_A,J7R770,43.84,2e-101,p53836_ub_model_A_H45.fasta
p53836_ub_model_A,G8BQ51,39.87,1e-93,p53836_ub_model_A_H40.fasta
p53836_ub_model_A,A0A120K1L9,34.69,2.9999999999999995e-70,p53836_ub_model_A_H35.fasta
p47011_ub_model_A,G0W715,57.63,5e-85,p47011_ub_model_A_H60.fasta
p47011_ub_model_A,P36143,54.01,4.0000000000000004e-82,p47011_ub_model_A_H55.fasta
p47011_ub_model_A,A7TGP4,49.79,1e-68,p47011_ub_model_A_H50.fasta
p47011_ub_model_A,C5DKL2,44.12,3e-64,p47011_ub_model_A_H45.fasta
p47011_ub_model_A,A0A642UYV9,39.66,2e-37,p47011_ub_model_A_H40.fasta
p47011_ub_model_A,F4RE30,33.78,2e-31,p47011_ub_model_A_H35.fasta
p47011_ub_model_A,A0A316VGN9,29.86,3e-26,p47011_ub_model_A_H30.fasta
p38260_ub_model_A,A0A1G4J4B2,56.21,2e-109,p38260_ub_model_A_H60.fasta
p38260_ub_model_A,A0A109UWB4,51.38,1e-93,p38260_ub_model_A_H55.fasta
p38260_ub_model_A,W1Q750,47.6,9e-79,p38260_ub_model_A_H50.fasta
p38260_ub_model_A,Q6BLA1,44.04,6e-68,p38260_ub_model_A_H45.fasta
p38260_ub_model_A,A0A642UKE5,38.31,9e-51,p38260_ub_model_A_H40.fasta
p38260_ub_model_A,A0A1E3NIU8,33.23,2.9999999999999998e-40,p38260_ub_model_A_H35.fasta
p38260_ub_model_A,A0A9N8W7H8,29.05,7e-26,p38260_ub_model_A_H30.fasta
p38260_ub_model_A,A0A7J6H6K8,24.81,3e-07,p38260_ub_model_A_H25.fasta
q08774_ub_model_A,G8ZNQ0,53.71,3e-82,q08774_ub_model_A_H55.fasta
q08774_ub_model_A,C5E3P3,48.03,2e-71,q08774_ub_model_A_H50.fasta
q08774_ub_model_A,G8JMJ3,43.56,1.0000000000000001e-60,q08774_ub_model_A_H45.fasta
q08774_ub_model_A,Q6FQ26,38.33,2e-41,q08774_ub_model_A_H40.fasta
q08774_ub_model_A,A0A9P8TG67,33.97,3.9999999999999996e-26,q08774_ub_model_A_H35.fasta
q08774_ub_model_A,A0A0H5C6M6,29.91,7e-18,q08774_ub_model_A_H30.fasta
q08774_ub_model_A,A0A9P8NYK2,22.73,4e-12,q08774_ub_model_A_H25.fasta
p0c2i4_ub_model_A,A6ZMH7,80.51,9e-108,p0c2i4_ub_model_A_H85.fasta
p0c2i4_ub_model_A,A0AA35JE33,65.46,5e-83,p0c2i4_ub_model_A_H70.fasta
p0c2i4_ub_model_A,UPI0006C1674E,60.51,2e-71,p0c2i4_ub_model_A_H65.fasta
p0c2i4_ub_model_A,A0AA35ND33,48.72,6e-58,p0c2i4_ub_model_A_H50.fasta
p0c2i4_ub_model_A,A0A7H9HN04,28.72,4e-13,p0c2i4_ub_model_A_H30.fasta
p0c2i4_ub_model_A,G0W5P7,22.28,4e-07,p0c2i4_ub_model_A_H25.fasta
p39728_ub_model_A,Q6FV15,31.22,3e-18,p39728_ub_model_A_H35.fasta
p39728_ub_model_A,A0A8J2T8A9,29.95,8e-16,p39728_ub_model_A_H30.fasta
p39728_ub_model_A,I6NCP9,24.1,2e-09,p39728_ub_model_A_H25.fasta
p38041_ub_model_A,B5VDQ5,98.96,0.0,p38041_ub_model_A_H99.fasta
p38041_ub_model_A,G8ZRM0,44.41,3e-68,p38041_ub_model_A_H45.fasta
p38041_ub_model_A,I2H2F3,35.49,2.9999999999999997e-44,p38041_ub_model_A_H40.fasta
p38041_ub_model_A,Q6FWY7,33.55,8e-40,p38041_ub_model_A_H35.fasta
p38041_ub_model_A,A0A3N4LD79,28.26,1e-22,p38041_ub_model_A_H30.fasta
p38041_ub_model_A,A0A317ALW1,23.89,7e-17,p38041_ub_model_A_H25.fasta
p34909_ub_model_A,Q75AJ1,83.09,5e-76,p34909_ub_model_A_H85.fasta
p34909_ub_model_A,A7TRQ0,76.87,9e-68,p34909_ub_model_A_H80.fasta
p34909_ub_model_A,A0A061ALZ1,70.83,1.9999999999999998e-42,p34909_ub_model_A_H75.fasta
p34909_ub_model_A,A0A0J9XHF3,69.3,9.999999999999999e-51,p34909_ub_model_A_H70.fasta
p34909_ub_model_A,A0A1L0B0V6,64.17,7.999999999999999e-50,p34909_ub_model_A_H65.fasta
p34909_ub_model_A,A0A7C8NU81,59.09,3e-38,p34909_ub_model_A_H60.fasta
p34909_ub_model_A,A0A5M8PWV6,53.64,2e-36,p34909_ub_model_A_H55.fasta
p34909_ub_model_A,N1Q4C3,47.97,7e-35,p34909_ub_model_A_H50.fasta
p34909_ub_model_A,M5BLN2,41.91,1.0000000000000001e-28,p34909_ub_model_A_H45.fasta
p34909_ub_model_A,A0A0C3B9N5,39.84,3e-23,p34909_ub_model_A_H40.fasta
p34909_ub_model_A,UPI0018CE8C2C,33.33,2e-17,p34909_ub_model_A_H35.fasta
p36143_ub_model_A,A0A3G9DDC9,98.06,0.0,p36143_ub_model_A_H99.fasta
p36143_ub_model_A,G0W715,57.67,5e-120,p36143_ub_model_A_H60.fasta
p36143_ub_model_A,Q6FS82,54.52,8e-111,p36143_ub_model_A_H55.fasta
p36143_ub_model_A,A0A1Q3AD61,47.8,3e-87,p36143_ub_model_A_H50.fasta
p36143_ub_model_A,C5DKL2,43.26,3e-77,p36143_ub_model_A_H45.fasta
p36143_ub_model_A,A0A1G4JYT4,38.28,3e-63,p36143_ub_model_A_H40.fasta
p36143_ub_model_A,A0AAX4HGL3,33.45,4e-40,p36143_ub_model_A_H35.fasta
p36143_ub_model_A,UPI0030795A83,28.67,4e-31,p36143_ub_model_A_H30.fasta
q12347_ub_model_A,UPI0038711B16,57.14,2.9999999999999996e-42,q12347_ub_model_A_H60.fasta
q12347_ub_model_A,A0A1G4KJ62,52.21,7e-37,q12347_ub_model_A_H55.fasta
q12347_ub_model_A,A0A0C7N5M1,46.36,1.9999999999999998e-32,q12347_ub_model_A_H50.fasta
q12347_ub_model_A,A0A1E5RVX1,43.1,2e-19,q12347_ub_model_A_H45.fasta
q12347_ub_model_A,A0A871R648,39.82,1e-15,q12347_ub_model_A_H40.fasta
q12347_ub_model_A,A0A9W6SZ57,34.51,4e-16,q12347_ub_model_A_H35.fasta
p0cx72_ub_model_A,A6ZMH7,79.9,3e-110,p0cx72_ub_model_A_H80.fasta
p0cx72_ub_model_A,A0AA35JE33,65.99,3e-86,p0cx72_ub_model_A_H70.fasta
p0cx72_ub_model_A,A0AA35NLP0,64.32,2e-76,p0cx72_ub_model_A_H65.fasta
p0cx72_ub_model_A,A0AA35ND33,48.99,2e-59,p0cx72_ub_model_A_H50.fasta
p0cx72_ub_model_A,A7TJX5,30.11,4e-16,p0cx72_ub_model_A_H35.fasta
p0cx72_ub_model_A,A0A7H9HN04,28.65,4e-15,p0cx72_ub_model_A_H30.fasta
p0cx72_ub_model_A,A7TMQ1,24.73,6e-14,p0cx72_ub_model_A_H25.fasta
p09368_ub_model_A,G0WEX8,61.64,1e-168,p09368_ub_model_A_H65.fasta
p09368_ub_model_A,G8BR47,57.79,1e-157,p09368_ub_model_A_H60.fasta
p09368_ub_model_A,I2H7Q0,53.15,3e-138,p09368_ub_model_A_H55.fasta
p09368_ub_model_A,W1QGM4,47.91,5e-117,p09368_ub_model_A_H50.fasta
p09368_ub_model_A,A0A167E1D7,37.22,4e-70,p09368_ub_model_A_H40.fasta
p09368_ub_model_A,A0A1E3PJX2,34.6,3.9999999999999997e-63,p09368_ub_model_A_H35.fasta
p09368_ub_model_A,A0A1E4T9M9,29.7,5.999999999999999e-44,p09368_ub_model_A_H30.fasta
p09368_ub_model_A,A0A5B8MXU1,23.86,6e-16,p09368_ub_model_A_H25.fasta
p0cx59_ub_model_A,A6ZMH7,80.0,1e-107,p0cx59_ub_model_A_H85.fasta
p0cx59_ub_model_A,A0AA35JE33,65.46,4.999999999999999e-84,p0cx59_ub_model_A_H70.fasta
p0cx59_ub_model_A,A0AA35NLP0,64.32,7e-76,p0cx59_ub_model_A_H65.fasta
p0cx59_ub_model_A,A0AA35ND33,50.0,2e-58,p0cx59_ub_model_A_H55.fasta
p0cx59_ub_model_A,A7TJX5,30.68,4e-16,p0cx59_ub_model_A_H35.fasta
p0cx59_ub_model_A,A0A7H9HN04,28.65,1e-14,p0cx59_ub_model_A_H30.fasta
p0cx59_ub_model_A,A7TMQ1,24.73,5e-14,p0cx59_ub_model_A_H25.fasta
q12518_ub_model_A,I2H4F5,39.67,7e-10,q12518_ub_model_A_H40.fasta
p39967_ub_model_A,P38187,79.31,9e-76,p39967_ub_model_A_H80.fasta
p39967_ub_model_A,G0V945,74.83,1e-73,p39967_ub_model_A_H75.fasta
p39967_ub_model_A,A0AAN7ZXN7,67.57,2e-65,p39967_ub_model_A_H70.fasta
p39967_ub_model_A,G0VFR4,64.0,5e-59,p39967_ub_model_A_H65.fasta
p39967_ub_model_A,Q6FQK5,59.03,3.9999999999999996e-50,p39967_ub_model_A_H60.fasta
p39967_ub_model_A,G8C248,53.1,2e-47,p39967_ub_model_A_H55.fasta
p39967_ub_model_A,A0A9W6WIW5,46.0,2e-37,p39967_ub_model_A_H50.fasta
p39967_ub_model_A,A0A1E4TKW3,44.08,5e-38,p39967_ub_model_A_H45.fasta
p39967_ub_model_A,A0A8X7MTK3,37.91,9.999999999999999e-33,p39967_ub_model_A_H40.fasta
p39967_ub_model_A,A0A9P7GRX0,34.59,1.0000000000000001e-24,p39967_ub_model_A_H35.fasta
p39967_ub_model_A,A0A7S4CH11,28.48,6e-18,p39967_ub_model_A_H30.fasta
q12071_ub_model_A,G0W4J8,61.59,4e-102,q12071_ub_model_A_H65.fasta
q12071_ub_model_A,J7S8H8,57.4,9e-98,q12071_ub_model_A_H60.fasta
q12071_ub_model_A,Q6CLB2,46.64,5e-70,q12071_ub_model_A_H50.fasta
q12071_ub_model_A,A0A0C7MUK4,43.45,6e-56,q12071_ub_model_A_H45.fasta
q12071_ub_model_A,A0A1E4SYF9,36.33,4e-43,q12071_ub_model_A_H40.fasta
q12071_ub_model_A,W6MUJ8,32.75,1e-38,q12071_ub_model_A_H35.fasta
q12071_ub_model_A,A0AAD7QMG4,28.97,6e-26,q12071_ub_model_A_H30.fasta
q12071_ub_model_A,A0A5E8BZS6,24.57,5e-18,q12071_ub_model_A_H25.fasta
q06651_ub_model_A,A0A7G3ZIQ3,52.17,3e-43,q06651_ub_model_A_H55.fasta
q06651_ub_model_A,J7RVF2,46.58,8.000000000000001e-39,q06651_ub_model_A_H50.fasta
q06651_ub_model_A,I2GVF3,43.54,9.999999999999999e-33,q06651_ub_model_A_H45.fasta
q06651_ub_model_A,A0A1L0AXA5,35.85,1e-19,q06651_ub_model_A_H40.fasta
q06651_ub_model_A,A0A1E5R8Z2,33.33,3e-18,q06651_ub_model_A_H35.fasta
q06651_ub_model_A,A0A0L0NVX8,28.4,8e-14,q06651_ub_model_A_H30.fasta
q12391_ub_model_A,A6ZMH7,96.57,2e-143,q12391_ub_model_A_H99.fasta
q12391_ub_model_A,P08405,82.35,2e-119,q12391_ub_model_A_H85.fasta
q12391_ub_model_A,A0AA35JE33,65.52,5e-87,q12391_ub_model_A_H70.fasta
q12391_ub_model_A,A0AA35NLP0,58.05,5e-73,q12391_ub_model_A_H60.fasta
q12391_ub_model_A,A0AA35ND33,46.46,1e-53,q12391_ub_model_A_H50.fasta
q12391_ub_model_A,A7TJX5,30.73,3e-17,q12391_ub_model_A_H35.fasta
q12391_ub_model_A,A0A7H9HN04,27.89,5e-15,q12391_ub_model_A_H30.fasta
q12391_ub_model_A,A0AAV5RV84,24.71,4e-12,q12391_ub_model_A_H25.fasta
p38753_ub_model_A,G0WHZ3,70.21,1.9999999999999999e-63,p38753_ub_model_A_H75.fasta
p38753_ub_model_A,H2AUD4,66.44,3e-63,p38753_ub_model_A_H70.fasta
p38753_ub_model_A,A0A7G3ZAS9,62.0,1.9999999999999998e-54,p38753_ub_model_A_H65.fasta
p38753_ub_model_A,Q75DS3,59.59,5e-52,p38753_ub_model_A_H60.fasta
p38753_ub_model_A,I2GZ24,53.5,4.0000000000000005e-49,p38753_ub_model_A_H55.fasta
p38753_ub_model_A,A0A1E5RHT4,45.86,2e-38,p38753_ub_model_A_H50.fasta
p38753_ub_model_A,A0A5E8BJS3,43.42,2e-36,p38753_ub_model_A_H45.fasta
p38753_ub_model_A,W6MF81,39.74,5.0000000000000004e-29,p38753_ub_model_A_H40.fasta
p38753_ub_model_A,A0A433QG50,32.62,3e-21,p38753_ub_model_A_H35.fasta
p38753_ub_model_A,A0A507D1Q9,29.86,2e-18,p38753_ub_model_A_H30.fasta
p38753_ub_model_A,A0A3Q1BI19,24.82,2e-09,p38753_ub_model_A_H25.fasta
p33338_ub_model_A,H2APE3,79.31,5e-162,p33338_ub_model_A_H80.fasta
p33338_ub_model_A,A0A1G4JWU5,65.92,4.0000000000000006e-124,p33338_ub_model_A_H70.fasta
p33338_ub_model_A,A7TG17,63.41,1e-120,p33338_ub_model_A_H65.fasta
p33338_ub_model_A,A0A871RDE2,58.18,1e-104,p33338_ub_model_A_H60.fasta
p33338_ub_model_A,A0A5E8BL42,54.74,2e-95,p33338_ub_model_A_H55.fasta
p33338_ub_model_A,A0A367JCT9,49.43,9e-88,p33338_ub_model_A_H50.fasta
p33338_ub_model_A,A0A139A7Q5,42.55,2e-71,p33338_ub_model_A_H45.fasta
p33338_ub_model_A,UPI003343155D,35.36,6e-37,p33338_ub_model_A_H40.fasta
p33338_ub_model_A,A0A0D2VX96,34.88,2e-41,p33338_ub_model_A_H35.fasta
p33338_ub_model_A,A0A8B7DII5,28.91,1e-35,p33338_ub_model_A_H30.fasta
p33338_ub_model_A,V5HLQ4,24.81,1e-22,p33338_ub_model_A_H25.fasta
p53874_ub_model_A,G8ZLE8,73.93,0.0,p53874_ub_model_A_H75.fasta
p53874_ub_model_A,G0WCZ8,62.74,1e-177,p53874_ub_model_A_H65.fasta
p53874_ub_model_A,A0A376B856,56.22,2e-166,p53874_ub_model_A_H60.fasta
p53874_ub_model_A,A0AAV5QFX1,54.06,9.999999999999999e-143,p53874_ub_model_A_H55.fasta
p53874_ub_model_A,A0A4P6XSU7,49.87,1e-123,p53874_ub_model_A_H50.fasta
p53874_ub_model_A,A0A642V841,41.4,4e-95,p53874_ub_model_A_H45.fasta
p53874_ub_model_A,A0A2T0FDV1,34.94,9e-61,p53874_ub_model_A_H35.fasta
p53874_ub_model_A,A0A1E3Q4C7,29.26,2e-44,p53874_ub_model_A_H30.fasta
p53874_ub_model_A,A0AAD5XM36,24.88,6e-28,p53874_ub_model_A_H25.fasta
p40559_ub_model_A,I2H9W8,72.17,3e-175,p40559_ub_model_A_H75.fasta
p40559_ub_model_A,A0A1D2VB50,54.87,6.0000000000000004e-123,p40559_ub_model_A_H55.fasta
p40559_ub_model_A,Q6CA28,49.7,2e-116,p40559_ub_model_A_H50.fasta
p40559_ub_model_A,A0A7C8R530,44.01,2e-94,p40559_ub_model_A_H45.fasta
p40559_ub_model_A,A0A168SPL7,39.51,2e-76,p40559_ub_model_A_H40.fasta
p40559_ub_model_A,E4X4I7,34.82,4e-58,p40559_ub_model_A_H35.fasta
p25369_ub_model_A,A0A1G4MGU3,71.15,1e-41,p25369_ub_model_A_H75.fasta
p25369_ub_model_A,G8ZQR5,67.29,2e-41,p25369_ub_model_A_H70.fasta
p25369_ub_model_A,I2GW00,64.08,1e-36,p25369_ub_model_A_H65.fasta
p25369_ub_model_A,A0A109UXS8,55.77,1.9999999999999998e-30,p25369_ub_model_A_H60.fasta
p25369_ub_model_A,A0A1E3P214,51.82,5e-27,p25369_ub_model_A_H55.fasta
p25369_ub_model_A,C4R935,49.53,3.9999999999999997e-25,p25369_ub_model_A_H50.fasta
p25369_ub_model_A,A0A2V1AXJ4,42.98,1e-19,p25369_ub_model_A_H45.fasta
p25369_ub_model_A,A0A9P7V8U6,39.09,7e-18,p25369_ub_model_A_H40.fasta
p25369_ub_model_A,X0KKT2,34.83,2e-09,p25369_ub_model_A_H35.fasta
p25369_ub_model_A,A0A4V3SIC5,29.81,9e-08,p25369_ub_model_A_H30.fasta
p48582_ub_model_A,A7TLJ1,44.74,5e-135,p48582_ub_model_A_H45.fasta
p48582_ub_model_A,I2H8F2,39.86,5e-106,p48582_ub_model_A_H40.fasta
p48582_ub_model_A,A0A1E4S308,27.57,2e-37,p48582_ub_model_A_H30.fasta
p48582_ub_model_A,A0A1E3QQH3,24.71,5e-27,p48582_ub_model_A_H25.fasta
p33202_ub_model_A,G0V6H1,76.38,6.999999999999999e-62,p33202_ub_model_A_H80.fasta
p33202_ub_model_A,A0A8H2ZIP8,72.44,3e-58,p33202_ub_model_A_H75.fasta
p33202_ub_model_A,Q75DK8,66.14,7e-55,p33202_ub_model_A_H70.fasta
p33202_ub_model_A,A0A9W6T3K5,62.2,2e-52,p33202_ub_model_A_H65.fasta
p33202_ub_model_A,A0A167FFR1,59.2,1e-44,p33202_ub_model_A_H60.fasta
p33202_ub_model_A,A0A4P9XBJ1,51.97,4e-41,p33202_ub_model_A_H55.fasta
p33202_ub_model_A,A0A1M8A8V9,49.61,7e-36,p33202_ub_model_A_H50.fasta
p33202_ub_model_A,A0A6H5GWX5,44.88,1.9999999999999998e-30,p33202_ub_model_A_H45.fasta
p32609_ub_model_A,A0A9P6WAL0,67.8,3e-19,p32609_ub_model_A_H70.fasta
p32609_ub_model_A,I2H7X5,64.41,4e-20,p32609_ub_model_A_H65.fasta
p32609_ub_model_A,G0W8I7,59.68,2e-20,p32609_ub_model_A_H60.fasta
p32609_ub_model_A,H2AUP2,54.1,2e-20,p32609_ub_model_A_H55.fasta
p32609_ub_model_A,UPI0034CE7DE7,45.61,7e-15,p32609_ub_model_A_H50.fasta
p32609_ub_model_A,A0A094J8B3,43.75,3e-12,p32609_ub_model_A_H45.fasta
p32609_ub_model_A,A0A0G4M0L0,39.34,3e-10,p32609_ub_model_A_H40.fasta
p34222_ub_model_A,G0VFS3,87.86,9e-85,p34222_ub_model_A_H90.fasta
p34222_ub_model_A,G8JSJ7,72.34,3e-68,p34222_ub_model_A_H75.fasta
